dataset,network_seed,row_position,subject_id,item_1,item_2,pair_accuracy,error_proportion,displayed_as_error
human,,9,10,B,F,1,0,false
human,,9,10,B,G,1,0,false
human,,9,10,B,H,1,0,false
human,,9,10,C,D,1,0,false
human,,9,10,C,E,1,0,false
human,,9,10,C,F,1,0,false
human,,9,10,C,G,1,0,false
human,,9,10,C,H,1,0,false
human,,9,10,D,E,1,0,false
human,,9,10,D,F,1,0,false
human,,9,10,D,G,1,0,false
human,,9,10,D,H,1,0,false
human,,9,10,E,F,1,0,false
human,,9,10,E,G,0,1,true
human,,9,10,E,H,1,0,false
human,,9,10,F,G,0,1,true
human,,9,10,F,H,0.9,0.1,false
human,,9,10,G,H,1,0,false
human,,10,11,A,B,0.8,0.2,false
human,,10,11,A,C,0.9,0.1,false
human,,10,11,A,D,0.7,0.3,false
human,,10,11,A,E,1,0,false
human,,10,11,A,F,1,0,false
human,,10,11,A,G,0.9,0.1,false
human,,10,11,A,H,1,0,false
human,,10,11,B,C,0.7,0.3,false
human,,10,11,B,D,0.6,0.4,false
human,,10,11,B,E,0.4,0.6,true
human,,10,11,B,F,0.8,0.2,false
human,,10,11,B,G,1,0,false
human,,10,11,B,H,1,0,false
human,,10,11,C,D,0.3,0.7,true
human,,10,11,C,E,0.6,0.4,false
human,,10,11,C,F,0.6,0.4,false
human,,10,11,C,G,0.7,0.3,false
human,,10,11,C,H,0.9,0.1,false
human,,10,11,D,E,0.4,0.6,true
human,,10,11,D,F,1,0,false
human,,10,11,D,G,1,0,false
human,,10,11,D,H,0.8,0.2,false
human,,10,11,E,F,1,0,false
human,,10,11,E,G,0.9,0.1,false
human,,10,11,E,H,0.8,0.2,false
human,,10,11,F,G,0.8,0.2,false
human,,10,11,F,H,0.5,0.5,true
human,,10,11,G,H,0.4,0.6,true
human,,11,12,A,B,0.8,0.2,false
human,,11,12,A,C,0.8,0.2,false
human,,11,12,A,D,0,1,true
human,,11,12,A,E,1,0,false
human,,11,12,A,F,1,0,false
human,,11,12,A,G,1,0,false
human,,11,12,A,H,1,0,false
human,,11,12,B,C,0.8,0.2,false
human,,11,12,B,D,0,1,true
human,,11,12,B,E,1,0,false
human,,11,12,B,F,0.9,0.1,false
human,,11,12,B,G,1,0,false
human,,11,12,B,H,1,0,false
human,,11,12,C,D,0,1,true
human,,11,12,C,E,1,0,false
human,,11,12,C,F,1,0,false
human,,11,12,C,G,0.9,0.1,false
human,,11,12,C,H,1,0,false
human,,11,12,D,E,1,0,false
human,,11,12,D,F,1,0,false
human,,11,12,D,G,1,0,false
human,,11,12,D,H,1,0,false
human,,11,12,E,F,0.3,0.7,true
human,,11,12,E,G,0,1,true
human,,11,12,E,H,1,0,false
human,,11,12,F,G,0.1,0.9,true
human,,11,12,F,H,1,0,false
human,,11,12,G,H,1,0,false
human,,12,13,A,B,0.6,0.4,false
human,,12,13,A,C,0.8,0.2,false
human,,12,13,A,D,0.8,0.2,false
human,,12,13,A,E,1,0,false
human,,12,13,A,F,1,0,false
human,,12,13,A,G,0.9,0.1,false
human,,12,13,A,H,1,0,false
human,,12,13,B,C,1,0,false
human,,12,13,B,D,1,0,false
human,,12,13,B,E,1,0,false
human,,12,13,B,F,1,0,false
human,,12,13,B,G,1,0,false
human,,12,13,B,H,1,0,false
human,,12,13,C,D,0.9,0.1,false
human,,12,13,C,E,1,0,false
human,,12,13,C,F,1,0,false
human,,12,13,C,G,1,0,false
human,,12,13,C,H,1,0,false
human,,12,13,D,E,1,0,false
human,,12,13,D,F,1,0,false
human,,12,13,D,G,1,0,false
human,,12,13,D,H,1,0,false
human,,12,13,E,F,0.3,0.7,true
human,,12,13,E,G,0.8,0.2,false
human,,12,13,E,H,1,0,false
human,,12,13,F,G,1,0,false
human,,12,13,F,H,1,0,false
human,,12,13,G,H,1,0,false
human,,13,16,A,B,0,1,true
human,,13,16,A,C,0,1,true
human,,13,16,A,D,1,0,false
human,,13,16,A,E,0.7,0.3,false
human,,13,16,A,F,1,0,false
human,,13,16,A,G,1,0,false
human,,13,16,A,H,1,0,false
human,,13,16,B,C,1,0,false
human,,13,16,B,D,1,0,false
human,,13,16,B,E,1,0,false
human,,13,16,B,F,1,0,false
human,,13,16,B,G,1,0,false
human,,13,16,B,H,1,0,false
human,,13,16,C,D,1,0,false
human,,13,16,C,E,1,0,false
human,,13,16,C,F,1,0,false
human,,13,16,C,G,1,0,false
human,,13,16,C,H,1,0,false
human,,13,16,D,E,0,1,true
human,,13,16,D,F,1,0,false
human,,13,16,D,G,1,0,false
human,,13,16,D,H,1,0,false
human,,13,16,E,F,1,0,false
human,,13,16,E,G,1,0,false
human,,13,16,E,H,1,0,false
human,,13,16,F,G,1,0,false
human,,13,16,F,H,1,0,false
human,,13,16,G,H,0.6,0.4,false
human,,14,17,A,B,1,0,false
human,,14,17,A,C,1,0,false
human,,14,17,A,D,1,0,false
human,,14,17,A,E,1,0,false
human,,14,17,A,F,1,0,false
human,,14,17,A,G,1,0,false
human,,14,17,A,H,1,0,false
human,,14,17,B,C,1,0,false
human,,14,17,B,D,1,0,false
human,,14,17,B,E,1,0,false
human,,14,17,B,F,1,0,false
human,,14,17,B,G,1,0,false
human,,14,17,B,H,1,0,false
human,,14,17,C,D,1,0,false
human,,14,17,C,E,1,0,false
human,,14,17,C,F,1,0,false
human,,14,17,C,G,1,0,false
human,,14,17,C,H,1,0,false
human,,14,17,D,E,1,0,false
human,,14,17,D,F,1,0,false
human,,14,17,D,G,1,0,false
human,,14,17,D,H,1,0,false
human,,14,17,E,F,0,1,true
human,,14,17,E,G,1,0,false
human,,14,17,E,H,1,0,false
human,,14,17,F,G,1,0,false
human,,14,17,F,H,1,0,false
human,,14,17,G,H,1,0,false
human,,15,18,A,B,1,0,false
human,,15,18,A,C,1,0,false
human,,15,18,A,D,1,0,false
human,,15,18,A,E,1,0,false
human,,15,18,A,F,1,0,false
human,,15,18,A,G,0,1,true
human,,15,18,A,H,1,0,false
human,,15,18,B,C,1,0,false
human,,15,18,B,D,1,0,false
human,,15,18,B,E,0.9,0.1,false
human,,15,18,B,F,1,0,false
human,,15,18,B,G,0,1,true
human,,15,18,B,H,1,0,false
human,,15,18,C,D,1,0,false
human,,15,18,C,E,1,0,false
human,,15,18,C,F,1,0,false
human,,15,18,C,G,0,1,true
human,,15,18,C,H,1,0,false
human,,15,18,D,E,0.9,0.1,false
human,,15,18,D,F,1,0,false
human,,15,18,D,G,0,1,true
human,,15,18,D,H,1,0,false
human,,15,18,E,F,1,0,false
human,,15,18,E,G,0,1,true
human,,15,18,E,H,1,0,false
human,,15,18,F,G,0,1,true
human,,15,18,F,H,1,0,false
human,,15,18,G,H,1,0,false
human,,16,20,A,B,0.4,0.6,true
human,,16,20,A,C,0.9,0.1,false
human,,16,20,A,D,1,0,false
human,,16,20,A,E,1,0,false
human,,16,20,A,F,1,0,false
human,,16,20,A,G,1,0,false
human,,16,20,A,H,1,0,false
human,,16,20,B,C,0.9,0.1,false
human,,16,20,B,D,1,0,false
human,,16,20,B,E,0.9,0.1,false
human,,16,20,B,F,1,0,false
human,,16,20,B,G,1,0,false
human,,16,20,B,H,1,0,false
human,,16,20,C,D,0.9,0.1,false
human,,16,20,C,E,0.5,0.5,true
human,,16,20,C,F,1,0,false
human,,16,20,C,G,0.9,0.1,false
human,,16,20,C,H,1,0,false
human,,16,20,D,E,0.4,0.6,true
human,,16,20,D,F,1,0,false
human,,16,20,D,G,0.9,0.1,false
human,,16,20,D,H,1,0,false
human,,16,20,E,F,1,0,false
human,,16,20,E,G,1,0,false
human,,16,20,E,H,0.9,0.1,false
human,,16,20,F,G,0.1,0.9,true
human,,16,20,F,H,0.2,0.8,true
human,,16,20,G,H,1,0,false
human,,17,21,A,B,1,0,false
human,,17,21,A,C,1,0,false
human,,17,21,A,D,1,0,false
human,,17,21,A,E,1,0,false
human,,17,21,A,F,1,0,false
human,,17,21,A,G,1,0,false
human,,17,21,A,H,1,0,false
human,,17,21,B,C,1,0,false
human,,17,21,B,D,0,1,true
human,,17,21,B,E,0.8,0.2,false
human,,17,21,B,F,0.7,0.3,false
human,,17,21,B,G,1,0,false
human,,17,21,B,H,1,0,false
human,,17,21,C,D,0,1,true
human,,17,21,C,E,0,1,true
human,,17,21,C,F,0,1,true
human,,17,21,C,G,0,1,true
human,,17,21,C,H,1,0,false
human,,17,21,D,E,1,0,false
human,,17,21,D,F,1,0,false
human,,17,21,D,G,1,0,false
human,,17,21,D,H,1,0,false
human,,17,21,E,F,0,1,true
human,,17,21,E,G,1,0,false
human,,17,21,E,H,1,0,false
human,,17,21,F,G,1,0,false
human,,17,21,F,H,1,0,false
human,,17,21,G,H,1,0,false
human,,18,22,A,B,0,1,true
human,,18,22,A,C,0.1,0.9,true
human,,18,22,A,D,0.1,0.9,true
human,,18,22,A,E,0.8,0.2,false
human,,18,22,A,F,1,0,false
human,,18,22,A,G,0.1,0.9,true
human,,18,22,A,H,1,0,false
human,,18,22,B,C,0.9,0.1,false
human,,18,22,B,D,0.8,0.2,false
human,,18,22,B,E,1,0,false
human,,18,22,B,F,1,0,false
human,,18,22,B,G,1,0,false
human,,18,22,B,H,1,0,false
human,,18,22,C,D,0.9,0.1,false
human,,18,22,C,E,1,0,false
human,,18,22,C,F,1,0,false
human,,18,22,C,G,1,0,false
human,,18,22,C,H,1,0,false
human,,18,22,D,E,0.9,0.1,false
human,,18,22,D,F,1,0,false
human,,18,22,D,G,1,0,false
human,,18,22,D,H,1,0,false
human,,18,22,E,F,1,0,false
human,,18,22,E,G,0.1,0.9,true
human,,18,22,E,H,1,0,false
human,,18,22,F,G,0.1,0.9,true
human,,18,22,F,H,1,0,false
human,,18,22,G,H,1,0,false
human,,19,23,A,B,0.1,0.9,true
human,,19,23,A,C,1,0,false
human,,19,23,A,D,1,0,false
human,,19,23,A,E,0.9,0.1,false
human,,19,23,A,F,1,0,false
human,,19,23,A,G,1,0,false
human,,19,23,A,H,1,0,false
human,,19,23,B,C,1,0,false
human,,19,23,B,D,0.9,0.1,false
human,,19,23,B,E,0.9,0.1,false
human,,19,23,B,F,0.9,0.1,false
human,,19,23,B,G,1,0,false
human,,19,23,B,H,1,0,false
human,,19,23,C,D,0.9,0.1,false
human,,19,23,C,E,1,0,false
human,,19,23,C,F,1,0,false
human,,19,23,C,G,1,0,false
human,,19,23,C,H,1,0,false
human,,19,23,D,E,1,0,false
human,,19,23,D,F,1,0,false
human,,19,23,D,G,1,0,false
human,,19,23,D,H,1,0,false
human,,19,23,E,F,1,0,false
human,,19,23,E,G,0.1,0.9,true
human,,19,23,E,H,1,0,false
human,,19,23,F,G,0.2,0.8,true
human,,19,23,F,H,0.9,0.1,false
human,,19,23,G,H,0.9,0.1,false
human,,20,24,A,B,0.9,0.1,false
human,,20,24,A,C,1,0,false
human,,20,24,A,D,0.9,0.1,false
human,,20,24,A,E,1,0,false
human,,20,24,A,F,0.3,0.7,true
human,,20,24,A,G,1,0,false
human,,20,24,A,H,1,0,false
human,,20,24,B,C,1,0,false
human,,20,24,B,D,0.9,0.1,false
human,,20,24,B,E,1,0,false
human,,20,24,B,F,0,1,true
human,,20,24,B,G,0.9,0.1,false
human,,20,24,B,H,1,0,false
human,,20,24,C,D,0.8,0.2,false
human,,20,24,C,E,0.9,0.1,false
human,,20,24,C,F,0,1,true
human,,20,24,C,G,1,0,false
human,,20,24,C,H,1,0,false
human,,20,24,D,E,0.8,0.2,false
human,,20,24,D,F,0.2,0.8,true
human,,20,24,D,G,0.8,0.2,false
human,,20,24,D,H,1,0,false
human,,20,24,E,F,0.1,0.9,true
human,,20,24,E,G,1,0,false
human,,20,24,E,H,1,0,false
human,,20,24,F,G,0.9,0.1,false
human,,20,24,F,H,1,0,false
human,,20,24,G,H,0.8,0.2,false
human,,21,25,A,B,0.2,0.8,true
human,,21,25,A,C,0,1,true
human,,21,25,A,D,0.3,0.7,true
human,,21,25,A,E,0.3,0.7,true
human,,21,25,A,F,0.9,0.1,false
human,,21,25,A,G,0.3,0.7,true
human,,21,25,A,H,0.4,0.6,true
human,,21,25,B,C,1,0,false
human,,21,25,B,D,1,0,false
human,,21,25,B,E,1,0,false
human,,21,25,B,F,1,0,false
human,,21,25,B,G,1,0,false
human,,21,25,B,H,1,0,false
human,,21,25,C,D,0.9,0.1,false
human,,21,25,C,E,1,0,false
human,,21,25,C,F,1,0,false
human,,21,25,C,G,1,0,false
human,,21,25,C,H,1,0,false
human,,21,25,D,E,0.9,0.1,false
human,,21,25,D,F,1,0,false
human,,21,25,D,G,1,0,false
human,,21,25,D,H,1,0,false
human,,21,25,E,F,0.6,0.4,false
human,,21,25,E,G,0,1,true
human,,21,25,E,H,1,0,false
human,,21,25,F,G,0.4,0.6,true
human,,21,25,F,H,0.4,0.6,true
human,,21,25,G,H,1,0,false
human,,22,26,A,B,1,0,false
human,,22,26,A,C,1,0,false
human,,22,26,A,D,1,0,false
human,,22,26,A,E,1,0,false
human,,22,26,A,F,1,0,false
human,,22,26,A,G,1,0,false
human,,22,26,A,H,1,0,false
human,,22,26,B,C,0.8,0.2,false
human,,22,26,B,D,1,0,false
human,,22,26,B,E,1,0,false
human,,22,26,B,F,1,0,false
human,,22,26,B,G,1,0,false
human,,22,26,B,H,1,0,false
human,,22,26,C,D,1,0,false
human,,22,26,C,E,0.8,0.2,false
human,,22,26,C,F,1,0,false
human,,22,26,C,G,1,0,false
human,,22,26,C,H,1,0,false
human,,22,26,D,E,0,1,true
human,,22,26,D,F,0.5,0.5,true
human,,22,26,D,G,1,0,false
human,,22,26,D,H,0,1,true
human,,22,26,E,F,1,0,false
human,,22,26,E,G,1,0,false
human,,22,26,E,H,1,0,false
human,,22,26,F,G,1,0,false
human,,22,26,F,H,0,1,true
human,,22,26,G,H,0,1,true
human,,23,27,A,B,1,0,false
human,,23,27,A,C,0.9,0.1,false
human,,23,27,A,D,1,0,false
human,,23,27,A,E,1,0,false
human,,23,27,A,F,1,0,false
human,,23,27,A,G,1,0,false
human,,23,27,A,H,1,0,false
human,,23,27,B,C,0.8,0.2,false
human,,23,27,B,D,1,0,false
human,,23,27,B,E,1,0,false
human,,23,27,B,F,1,0,false
human,,23,27,B,G,1,0,false
human,,23,27,B,H,1,0,false
human,,23,27,C,D,0.8,0.2,false
human,,23,27,C,E,1,0,false
human,,23,27,C,F,1,0,false
human,,23,27,C,G,1,0,false
human,,23,27,C,H,1,0,false
human,,23,27,D,E,1,0,false
human,,23,27,D,F,0.5,0.5,true
human,,23,27,D,G,1,0,false
human,,23,27,D,H,1,0,false
human,,23,27,E,F,0.6,0.4,false
human,,23,27,E,G,1,0,false
human,,23,27,E,H,0.7,0.3,false
human,,23,27,F,G,1,0,false
human,,23,27,F,H,0.9,0.1,false
human,,23,27,G,H,0,1,true
human,,24,28,A,B,1,0,false
human,,24,28,A,C,1,0,false
human,,24,28,A,D,1,0,false
human,,24,28,A,E,1,0,false
human,,24,28,A,F,0.9,0.1,false
human,,24,28,A,G,1,0,false
human,,24,28,A,H,1,0,false
human,,24,28,B,C,0.9,0.1,false
human,,24,28,B,D,0.9,0.1,false
human,,24,28,B,E,1,0,false
human,,24,28,B,F,0.9,0.1,false
human,,24,28,B,G,1,0,false
human,,24,28,B,H,1,0,false
human,,24,28,C,D,0.2,0.8,true
human,,24,28,C,E,1,0,false
human,,24,28,C,F,0.5,0.5,true
human,,24,28,C,G,1,0,false
human,,24,28,C,H,1,0,false
human,,24,28,D,E,1,0,false
human,,24,28,D,F,0.7,0.3,false
human,,24,28,D,G,1,0,false
human,,24,28,D,H,1,0,false
human,,24,28,E,F,0,1,true
human,,24,28,E,G,0,1,true
human,,24,28,E,H,1,0,false
human,,24,28,F,G,1,0,false
human,,24,28,F,H,1,0,false
human,,24,28,G,H,1,0,false
human,,25,29,A,B,1,0,false
human,,25,29,A,C,1,0,false
human,,25,29,A,D,1,0,false
human,,25,29,A,E,1,0,false
human,,25,29,A,F,0.9,0.1,false
human,,25,29,A,G,1,0,false
human,,25,29,A,H,1,0,false
human,,25,29,B,C,0.9,0.1,false
human,,25,29,B,D,1,0,false
human,,25,29,B,E,1,0,false
human,,25,29,B,F,1,0,false
human,,25,29,B,G,1,0,false
human,,25,29,B,H,1,0,false
human,,25,29,C,D,1,0,false
human,,25,29,C,E,1,0,false
human,,25,29,C,F,1,0,false
human,,25,29,C,G,1,0,false
human,,25,29,C,H,1,0,false
human,,25,29,D,E,0,1,true
human,,25,29,D,F,0.9,0.1,false
human,,25,29,D,G,1,0,false
human,,25,29,D,H,1,0,false
human,,25,29,E,F,1,0,false
human,,25,29,E,G,1,0,false
human,,25,29,E,H,1,0,false
human,,25,29,F,G,1,0,false
human,,25,29,F,H,1,0,false
human,,25,29,G,H,0,1,true
human,,26,30,A,B,0,1,true
human,,26,30,A,C,0.1,0.9,true
human,,26,30,A,D,0.8,0.2,false
human,,26,30,A,E,0.5,0.5,true
human,,26,30,A,F,1,0,false
human,,26,30,A,G,0.2,0.8,true
human,,26,30,A,H,1,0,false
human,,26,30,B,C,1,0,false
human,,26,30,B,D,1,0,false
human,,26,30,B,E,0.9,0.1,false
human,,26,30,B,F,1,0,false
human,,26,30,B,G,1,0,false
human,,26,30,B,H,1,0,false
human,,26,30,C,D,0.8,0.2,false
human,,26,30,C,E,0.4,0.6,true
human,,26,30,C,F,1,0,false
human,,26,30,C,G,0.7,0.3,false
human,,26,30,C,H,1,0,false
human,,26,30,D,E,0.2,0.8,true
human,,26,30,D,F,1,0,false
human,,26,30,D,G,0.4,0.6,true
human,,26,30,D,H,1,0,false
human,,26,30,E,F,1,0,false
human,,26,30,E,G,0.9,0.1,false
human,,26,30,E,H,1,0,false
human,,26,30,F,G,0,1,true
human,,26,30,F,H,0.7,0.3,false
human,,26,30,G,H,1,0,false
human,,27,31,A,B,0.9,0.1,false
human,,27,31,A,C,0.9,0.1,false
human,,27,31,A,D,1,0,false
human,,27,31,A,E,0.9,0.1,false
human,,27,31,A,F,0.9,0.1,false
human,,27,31,A,G,1,0,false
human,,27,31,A,H,1,0,false
human,,27,31,B,C,0.9,0.1,false
human,,27,31,B,D,0.9,0.1,false
human,,27,31,B,E,0.9,0.1,false
human,,27,31,B,F,0.8,0.2,false
human,,27,31,B,G,0.9,0.1,false
human,,27,31,B,H,1,0,false
human,,27,31,C,D,0.8,0.2,false
human,,27,31,C,E,0.7,0.3,false
human,,27,31,C,F,0.4,0.6,true
human,,27,31,C,G,0.7,0.3,false
human,,27,31,C,H,0.9,0.1,false
